explanation,hanzi,variant_s,pinyin,related_s,vocab_s,jp_vocab_s,note
to rest,休,,xiu1,体,休息，身体,,
to (a place)/until (a time)/up to/to go/to arrive,到,,dao4,倒，道，至,看到，迟到，到底，甚至，至少，至于,,
quarter (hour)/(a measure word)/to carve/to engrave/to cut/oppressive,刻,,ke4,,立刻，深刻,,
"difference/discrepancy/to differ/error/to err/to make a mistake, differ from/short of/to lack/poor, send/a messenger/a mission/to commission, uneven",差,,cha1/cha4/chai1/ci1,,差别，差距，差异,,
bed/couch/(a measure word),床,牀,chuang2,,起床,,
news/interest/breath/rest,息,,xi1,,气息，休息，气流，鼻息,吐息,
to announce/to inform/report/newspaper/recompense/revenge,报,報,bao4,服,报纸,,
evening/night/late,晚,晩,wan3,免，兔,避免，兔,,
"curios/antiques/to play/to amuse oneself, curios/antiques",玩,,wan2/wan4,,玩具，玩儿，玩笑,,
to sleep,睡,,shui4,垂,睡觉，垂直，垂下,,
"weigh, appointment/agreement/to arrange/to restrict/approximately",约,約,yao1/yue1,药,,,
paper,纸,紙,zhi3,氏,报纸,,
"a nap/a sleep, feel/find that/thinking/awake/aware",觉,覺,jiao4/jue2,见,觉得，睡觉,,
to rise/to raise/to get up,起,,qi3,越，赶，超，趣,,,
clock/time as measured in hours and minutes/bell,钟,鍾鐘,zhong1,种，仲，肿，冲,分钟，这种，仲介，肿瘤，冲突,,
food/cuisine/cooked rice/meal,饭,飯,fan4,,米饭,,
